User ID,Subscription Plan,Monthly Revenue ($),Join Date,Last Payment,Country,Age,Gender,Device,Plan Duration (Months),Total Movies/Shows Watched,Genre Preference,No. of Recommendations Viewed,% of Recommendations Acted Upon,Frequency of Rating
1,Premium,15.99,5/15/2020,7/10/2023,USA,28,Male,Smart TV,12,200,Drama,10,60%,Weekly
2,Standard,11.99,1/8/2021,7/12/2023,Canada,35,Female,Laptop,6,150,Comedy,5,40%,Monthly
3,Basic,8.99,3/20/2022,7/11/2023,UK,42,Male,Mobile,3,100,Action,3,20%,Never
4,Premium,15.99,11/2/2020,7/12/2023,Australia,23,Female,Laptop,12,180,Comedy,8,70%,Monthly
5,Basic,8.99,7/15/2021,7/10/2023,USA,31,Male,Smart TV,6,90,Action,6,50%,Weekly
6,Standard,11.99,2/10/2022,7/12/2023,Canada,37,Female,Mobile,6,120,Drama,4,30%,Monthly
7,Premium,15.99,6/18/2021,7/11/2023,UK,29,Male,Laptop,12,250,Comedy,7,50%,Monthly
8,Basic,8.99,1/5/2023,7/10/2023,USA,41,Female,Smart TV,3,80,Sci-Fi,2,10%,Never
9,Standard,11.99,9/9/2022,7/12/2023,Canada,27,Male,Laptop,6,160,Drama,5,40%,Monthly
10,Premium,15.99,3/30/2021,7/11/2023,UK,33,Female,Mobile,12,220,Thriller,9,80%,Weekly
11,Standard,11.99,8/3/2021,7/12/2023,Australia,24,Female,Mobile,6,100,Action,3,30%,Weekly
12,Premium,15.99,12/18/2020,7/11/2023,USA,39,Male,Laptop,12,180,Comedy,8,60%,Monthly
13,Basic,8.99,6/10/2022,7/10/2023,UK,28,Female,Smart TV,3,50,Thriller,1,10%,Never
14,Premium,15.99,9/25/2020,7/12/2023,Canada,33,Male,Laptop,12,250,Drama,10,70%,Weekly
15,Standard,11.99,5/9/2021,7/10/2023,USA,46,Female,Mobile,6,120,Comedy,4,40%,Monthly
16,Basic,8.99,2/14/2022,7/12/2023,Australia,32,Male,Smart TV,3,80,Action,2,20%,Never
17,Premium,15.99,7/21/2021,7/11/2023,UK,27,Female,Laptop,12,220,Drama,9,80%,Monthly
18,Basic,8.99,3/5/2023,7/10/2023,Canada,42,Male,Mobile,3,70,Comedy,3,30%,Never
19,Standard,11.99,11/16/2022,7/12/2023,USA,30,Female,Laptop,6,140,Action,6,50%,Monthly
20,Premium,15.99,4/2/2021,7/11/2023,Australia,35,Male,Smart TV,12,180,Comedy,8,60%,Weekly
21,Basic,8.99,8/9/2022,7/10/2023,UK,29,Female,Laptop,3,90,Drama,4,40%,Never
22,Premium,15.99,10/16/2020,7/12/2023,Canada,41,Male,Mobile,12,200,Comedy,10,70%,Monthly
23,Standard,11.99,6/30/2021,7/10/2023,USA,28,Female,Smart TV,6,130,Drama,5,50%,Weekly
24,Basic,8.99,3/18/2022,7/11/2023,Australia,39,Male,Laptop,3,60,Action,2,20%,Never
25,Premium,15.99,8/11/2021,7/10/2023,UK,33,Female,Mobile,12,230,Comedy,9,80%,Monthly
26,Basic,8.99,1/5/2022,7/12/2023,Canada,27,Male,Laptop,3,80,Thriller,3,30%,Never
27,Standard,11.99,5/9/2022,7/11/2023,USA,46,Female,Smart TV,6,160,Comedy,6,60%,Monthly
28,Premium,15.99,10/12/2021,7/10/2023,Australia,32,Male,Mobile,12,250,Drama,10,70%,Weekly
29,Basic,8.99,1/28/2022,7/12/2023,UK,27,Female,Laptop,14,70,"Comedy, Romance",0,30%,Never
30,Standard,11.99,9/15/2022,7/11/2023,Canada,30,Male,Smart TV,6,140,Drama,5,50%,Monthly
31,Premium,15.99,8/3/2020,7/12/2023,Australia,24,Female,Mobile,6,100,Action,3,30%,Weekly
32,Standard,11.99,12/18/2021,7/11/2023,USA,39,Male,Laptop,12,180,Comedy,8,60%,Monthly
33,Basic,8.99,6/10/2022,7/10/2023,UK,28,Female,Smart TV,3,50,Thriller,1,10%,Never
34,Premium,15.99,9/25/2020,7/12/2023,Canada,33,Male,Laptop,12,250,Drama,10,70%,Weekly
35,Standard,11.99,5/9/2021,7/10/2023,USA,46,Female,Mobile,6,120,Comedy,4,40%,Monthly
36,Basic,8.99,2/14/2022,7/12/2023,Australia,32,Male,Smart TV,3,80,Action,2,20%,Never
37,Premium,15.99,7/21/2021,7/11/2023,UK,27,Female,Laptop,12,220,Drama,9,80%,Monthly
38,Basic,8.99,3/5/2023,7/10/2023,Canada,42,Male,Mobile,3,70,Comedy,3,30%,Never
39,Standard,11.99,11/16/2022,7/12/2023,USA,30,Female,Laptop,6,140,Action,6,50%,Monthly
40,Premium,15.99,4/2/2021,7/11/2023,Australia,35,Male,Smart TV,12,180,Comedy,8,60%,Weekly
41,Basic,8.99,8/9/2022,7/10/2023,UK,29,Female,Laptop,3,90,Drama,4,40%,Never
42,Premium,15.99,10/16/2020,7/12/2023,Canada,41,Male,Mobile,12,200,Comedy,10,70%,Monthly
